X,Y,id,
-53.2463959851686,-11.2400609859799,,
-53.4203524057997,-11.0601258371445,,
-53.0013500291761,-10.3857580558469,,
-53.0047898454032,-10.1783043771941,,
-53.5328016362735,-11.9118898553003,,
-53.2043810869654,-12.3009166905157,,
-53.4244064749246,-11.4382599209739,,
-52.9446340116211,-11.5568516804248,,
-52.6946740324469,-11.6508733239674,,
-52.4164584199781,-11.7065655866929,,
-53.1563465103646,-10.8241708240381,,
-50.6367630243506,-13.2652937399181,,
-50.6169431308512,-13.0081265267441,,
-50.4587115844015,-12.7295014123435,,
-50.1945009380005,-12.5478463553945,,
-50.2798820907819,-12.5054219552594,,
-50.3067454175084,-12.5582067542692,,
-50.0824612094584,-12.3278209674353,,
-51.0269467025234,-14.1356389082296,,
-50.8810002140278,-14.0970638262535,,
-50.8829658233005,-13.4294937770238,,
-50.6264538132174,-13.3808449475253,,
-50.6861591948746,-13.4152431097969,,
-57.5719341781878,-16.9752072037568,,
-57.4736537145544,-16.8238552897614,,
-57.6500671467763,-16.8341747384429,,
-57.6314552839757,-16.601188614342,,
-57.6167746397206,-15.90745139167,,
-57.5022778995877,-17.5563518702789,,
-57.2833581668443,-17.8590556982696,,
-56.7538721690195,-17.2836235836962,,
-55.8317173281731,-16.7692789198,,
-55.1882259925335,-16.6255091900107,,
-55.0509347112746,-16.5867939815923,,
-52.9313936624411,-12.6616834135085,,
-52.7605699315883,-12.6470680336237,,
-53.7270767109597,-12.0757984422023,,
-53.4318149407327,-12.0151601639567,,
-53.2893927282377,-10.4418300676283,,
-53.0808611877129,-10.1051127052545,,
-50.8858429742747,-13.8706639195613,,
-48.3978936520093,-11.642757400315,,
-48.2569294700302,-11.5469963968328,,
-56.9092287723066,-12.6108121089567,,
-50.1449093322473,-9.74900261412329,,
-50.0413342806916,-9.49179279267655,,
-50.0053772068873,-9.317424333475,,
-49.9722219829898,-9.15015389403741,,
-49.8854580308751,-9.03518465286059,,
-49.6495422687202,-8.89453178753786,,
-56.381126762368,-11.662718635172,,
